
test,topic-title,topic-title_test,0.3180376196401372,0.2530710744004617,0.13141256453944097,0.36798983426,field,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
test,topic-title,topic-title_test,0.3180376196401372,0.2530710744004617,0.13141256453944097,0.36798983426,field,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
test,topic-title,topic-title_test,0.3180376196401372,0.2530710744004617,0.13141256453944097,0.36798983426,field,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
test,topic-title,topic-title_test,0.13244128710888112,0.02788660312100992,0.009787689113400933,0.157886180626,field,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
test,topic-title,topic-title_test,0.13673072426929864,0.030835679941111614,0.006877815814172817,0.156117816526,field,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
test,topic-title,topic-title_test,0.14556681388934148,0.02965634934466657,2.746362448001515e-07,0.159842846972,field,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
topic-title,topic-title,topic-title_test,0.13570554511992491,0.03595828338568735,3.211548718603079e-07,0.166490807202,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
topic-title,topic-title,topic-title_test,0.18646323448541963,0.07081813609437959,0.013927882813985208,0.225673203896,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
topic-title,topic-title,topic-title_test,0.22576433695375667,0.10549214102440464,0.03965742280255358,0.260820790493,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
topic-title,topic-title,topic-title_test,0.218863109069777,0.10918576268727491,0.04746493787328537,0.257255388046,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
topic-title,topic-title,topic-title_test,0.20222033605158643,0.08352669705999496,0.02446114033321974,0.238885278275,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
topic-title,topic-title,topic-title_test,0.22403983044613907,0.09680152242729945,0.014331435628069308,0.25165657591,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
topic-title,topic-title,topic-title_test,0.21527775409011018,0.0918274210763025,0.024593029598410945,0.248940117627,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
title-abstract,title-abstract,title-abstract_test,0.23676711248854637,0.13025624704870672,0.06956537444038323,0.174081568306,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
title-abstract,title-abstract,title-abstract_test,0.25772154335375647,0.19051030101545827,0.15318155668378483,0.262137789657,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
topic-title,topic-title,topic-title_test,0.38203675137647125,0.3332655925871467,0.2356916235679017,0.438173954899,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
topic-title,topic-title,topic-title_test,0.25119555175419217,0.13199874850350204,0.04440798313122567,0.287610317223,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
topic-title,topic-title,topic-title_test,0.24387164580713394,0.13193269216874684,0.032776938415125426,0.282877084687,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
title-abstract,title-abstract,generate_test,5.041246969998349e-24,1.5941822680588226e-19,5.041246973359187e-18,0.0,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
title-abstract,title-abstract,generate_test,2.0910635569864792e-21,6.612523575556835e-17,2.0910635583805256e-15,0.0,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
topic-title-joint,topic-title-joint,topic-title-joint_test,0.2047016042981441,0.1086866862439841,0.02469449452801884,0.234175429397,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
topic-title-joint,topic-title-joint,topic-title-joint_test,0.21117921320210928,0.11116270977096432,0.030739869478972597,0.23567418538,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
topic-title-joint,topic-title-joint,topic-title-joint_test,0.20947725417592997,0.11302700230328395,0.02690108026404825,0.234688780603,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
topic-title-joint,topic-title-joint,topic-title-joint_test,0.20806428872320873,0.11246084918620712,0.03758896819392674,0.233003988189,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
topic-title-joint,topic-title-joint,topic-title-joint_test,0.2154258068742177,0.11903290886236688,0.04352265864892071,0.240393550971,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
title-abstract-joint,title-abstract-joint,title-abstract-joint_test,0.21377306722681208,0.10198544393737903,0.04323035357982537,0.179013631402,None,{'position': False; 'year': False; 'institution': False; 'field': False; 'cites': False; 'feature': True},64,256,1,0.0001,0.1,50.0
